# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  2.776578072040329E+00  2.933489531389191E+19  7.540872253708028E+03  1.237559712631322E+06  3.544185964839242E+04  3.597869825307572E-07  8.973030937381154E+02  4.022282932689541E-02
  2.785984057662513E+00  2.932914454814455E+19  7.546197375621841E+03  1.235629410427102E+06  3.545993468029262E+04  3.594062136328416E-07  8.972679597309263E+02  3.582228382812135E-02
  2.795390043284697E+00  2.932381314709586E+19  7.550602016933337E+03  1.233515383890242E+06  3.547418268815505E+04  3.590917702490991E-07  8.972035116200809E+02  3.167213855267329E-02
  2.804796028906880E+00  2.931889412694966E+19  7.554189497971189E+03  1.231229254492612E+06  3.548508380350265E+04  3.588360018521089E-07  8.971155732969680E+02  2.777337062251126E-02
  2.814202014529063E+00  2.931437871556860E+19  7.557058496367334E+03  1.228782081855745E+06  3.549309350588964E+04  3.586316758838072E-07  8.970095532128059E+02  2.412717222023255E-02
  2.823608000151247E+00  2.931025607077519E+19  7.559303169275536E+03  1.226184627496394E+06  3.549864294400888E+04  3.584719486525607E-07  8.968904400349109E+02  2.073431957304553E-02
  2.833013985773430E+00  2.930651427861143E+19  7.561012637359940E+03  1.223447164747149E+06  3.550213780530964E+04  3.583503852297687E-07  8.967628380492636E+02  1.759556199924618E-02
  2.842419971395614E+00  2.930314104175905E+19  7.562270419488229E+03  1.220579328511004E+06  3.550395657702192E+04  3.582609858940350E-07  8.966309800663610E+02  1.471194610224821E-02
  2.851825957017797E+00  2.930012328583833E+19  7.563154256055300E+03  1.217590369090411E+06  3.550444931585768E+04  3.581981877086161E-07  8.964986965362461E+02  1.208413399937255E-02
  2.861231942639980E+00  2.929744796136466E+19  7.563736146889727E+03  1.214489019327578E+06  3.550393886637129E+04  3.581568533278002E-07  8.963694699510007E+02  9.712757517342603E-03
  2.870637928262163E+00  2.929510265377843E+19  7.564081665029569E+03  1.211283351387345E+06  3.550271844067436E+04  3.581323133475319E-07  8.962464340371566E+02  7.598711395042277E-03
  2.880043913884347E+00  2.929307522846825E+19  7.564249661953407E+03  1.207980997807277E+06  3.550104985964450E+04  3.581203825951903E-07  8.961323366335287E+02  5.742502516557890E-03
  2.889449899506531E+00  2.929135453192566E+19  7.564292827217871E+03  1.204589009044769E+06  3.549916707640579E+04  3.581173172050755E-07  8.960296173733468E+02  4.144757818012932E-03
  2.898855885128715E+00  2.928993072046060E+19  7.564256363716791E+03  1.201113796938297E+06  3.549727039731394E+04  3.581199066652204E-07  8.959403505787118E+02  2.806153130607894E-03
  2.908261870750898E+00  2.928879503835750E+19  7.564178589317471E+03  1.197561285478612E+06  3.549552907026969E+04  3.581254299283000E-07  8.958662682823550E+02  1.727107954218148E-03
  2.917667856373082E+00  2.928794042910473E+19  7.564090960059328E+03  1.193936754594968E+06  3.549408216103545E+04  3.581316532187395E-07  8.958087996873660E+02  9.082632306635869E-04
  2.927073841995265E+00  2.928736151087002E+19  7.564016687950047E+03  1.190244899143077E+06  3.549303205857785E+04  3.581369280468521E-07  8.957689883126284E+02  3.500320705463225E-04
  2.936479827617448E+00  2.928705451602841E+19  7.563972659957824E+03  1.186489780559089E+06  3.549245342220724E+04  3.581400549895719E-07  8.957476022638225E+02  5.289699664893773E-05
  2.945885813239631E+00  2.928701781381606E+19  7.563967067722293E+03  1.182675055272256E+06  3.549238270302569E+04  3.581404521628857E-07  8.957450260596663E+02  1.729489323883028E-05
  2.955291798861814E+00  2.928725146148567E+19  7.564001322323753E+03  1.178803748878337E+06  3.549282659027357E+04  3.581380193345367E-07  8.957613466603452E+02  2.436170347510418E-04
  2.964697784483999E+00  2.928775755264251E+19  7.564068815411585E+03  1.174877989702504E+06  3.549375662098463E+04  3.581332259249053E-07  8.957963014348707E+02  7.322355451734882E-04
  2.974103770106183E+00  2.928854019014921E+19  7.564155069677505E+03  1.170899588342069E+06  3.549510984903053E+04  3.581271002379997E-07  8.958492853382586E+02  1.483543522553398E-03
  2.983509755728365E+00  2.928960511434668E+19  7.564238613275567E+03  1.166869794833316E+06  3.549679248862724E+04  3.581211672263439E-07  8.959193797728888E+02  2.497847929171847E-03
  2.992915741350551E+00  2.929096005492402E+19  7.564289322583822E+03  1.162789202681756E+06  3.549867254960463E+04  3.581175660857506E-07  8.960052756766911E+02  3.775413643150707E-03
  3.002321726972733E+00  2.929261435299602E+19  7.564270404308239E+03  1.158657867379587E+06  3.550058866040954E+04  3.581189095671468E-07  8.961053673231268E+02  5.316639553389725E-03
  3.011727712594917E+00  2.929457866847499E+19  7.564136956942062E+03  1.154475338957591E+06  3.550234293625431E+04  3.581283865708637E-07  8.962176485622899E+02  7.121612137630547E-03
  3.021133698217099E+00  2.929686525277991E+19  7.563836643858509E+03  1.150240542263952E+06  3.550370443464135E+04  3.581497153711828E-07  8.963397684405171E+02  9.190684750300685E-03
  3.030539683839284E+00  2.929948725863032E+19  7.563310226773409E+03  1.145951947764283E+06  3.550441078193839E+04  3.581871076116368E-07  8.964690193347890E+02  1.152406451411373E-02
  3.039945669461466E+00  2.930245854853131E+19  7.562490735602647E+03  1.141607516187614E+06  3.550416399567523E+04  3.582453303191226E-07  8.966022744075576E+02  1.412178350662518E-02
  3.049351655083651E+00  2.930579383141224E+19  7.561304366804450E+03  1.137204633112118E+06  3.550263480890398E+04  3.583296466748724E-07  8.967360470882775E+02  1.698418205789213E-02
  3.058757640705835E+00  2.930950771981287E+19  7.559670650191730E+03  1.132740298228241E+06  3.549946224470486E+04  3.584458106092560E-07  8.968664406337718E+02  2.011130251123354E-02
  3.068163626328016E+00  2.931361456340520E+19  7.557502190080617E+03  1.128211035372173E+06  3.549425212370126E+04  3.586000939641865E-07  8.969891193263913E+02  2.350312137628982E-02
  3.077569611950201E+00  2.931812845707894E+19  7.554705180932438E+03  1.123612847037647E+06  3.548657941033290E+04  3.587992613473953E-07  8.970993355877881E+02  2.715987397330025E-02
  3.086975597572383E+00  2.932306233300419E+19  7.551179778574551E+03  1.118941365401012E+06  3.547598876447475E+04  3.590505583812763E-07  8.971918917440853E+02  3.108160787528218E-02
  3.096381583194569E+00  2.932842725557161E+19  7.546820337319246E+03  1.114191881665613E+06  3.546199470372393E+04  3.593617130999585E-07  8.972611054665608E+02  3.526810027776771E-02
  3.105787568816751E+00  2.933423268088215E+19  7.541515371419389E+03  1.109359189532353E+06  3.544408163236230E+04  3.597409611869646E-07  8.973008169993784E+02  3.971943423005846E-02
  3.115193554438935E+00  2.934048558452258E+19  7.535148095316727E+03  1.104437710707921E+06  3.542170521728357E+04  3.601970346078643E-07  8.973043606328483E+02  4.443567084621061E-02
  3.124599540061119E+00  2.934718948041907E+19  7.527597108153188E+03  1.099421605386482E+06  3.539429431500850E+04  3.607391448799453E-07  8.972645373173618E+02  4.941657221163869E-02
  3.134005525683301E+00  2.935434406737161E+19  7.518736510069522E+03  1.094304696667690E+06  3.536125099401126E+04  3.613770125770295E-07  8.971735910801767E+02  5.466187304587242E-02
  3.143411511305486E+00  2.936194493525674E+19  7.508435992289244E+03  1.089080424217239E+06  3.532195051403074E+04  3.621209051861448E-07  8.970231866473019E+02  6.017146430194114E-02
  3.152817496927669E+00  2.936998263081103E+19  7.496561509839192E+03  1.083741934341640E+06  3.527574328996812E+04  3.629816399378730E-07  8.968043819146587E+02  6.594517847549114E-02
  3.162223482549853E+00  2.937844191742775E+19  7.482975758784318E+03  1.078282101597315E+06  3.522195619819981E+04  3.639706079587146E-07  8.965076001202178E+02  7.198277076177305E-02
  3.171629468172035E+00  2.938730076267592E+19  7.467539125033150E+03  1.072693615384943E+06  3.515989581292070E+04  3.650997718222731E-07  8.961226133269172E+02  7.828374780997513E-02
  3.181035453794219E+00  2.939653002238462E+19  7.450109511860179E+03  1.066968867469711E+06  3.508884724685120E+04  3.663817532944555E-07  8.956385011598356E+02  8.484769019772369E-02
  3.190441439416403E+00  2.940609261760705E+19  7.430542909088357E+03  1.061099986230206E+06  3.500807592633081E+04  3.678298769954146E-07  8.950436228859076E+02  9.167418625032060E-02
  3.199847425038586E+00  2.941594261605220E+19  7.408694111892748E+03  1.055078878408462E+06  3.491683002776469E+04  3.694582130798042E-07  8.943255931075716E+02  9.876275254104290E-02
  3.209253410660771E+00  2.942602439544743E+19  7.384417304467279E+03  1.048897239357188E+06  3.481434246061984E+04  3.712816406972515E-07  8.934712551669003E+02  1.061128312704456E-01
  3.218659396282953E+00  2.943627179159921E+19  7.357566664910919E+03  1.042546561300276E+06  3.469983303109184E+04  3.733159218196625E-07  8.924666561052952E+02  1.137237888248347E-01
  3.228065381905137E+00  2.944660723292957E+19  7.327996988343025E+03  1.036018139573721E+06  3.457251079065360E+04  3.755777867224994E-07  8.912970235967043E+02  1.215949148874790E-01
  3.237471367527320E+00  2.945694086318224E+19  7.295564326629243E+03  1.029303076854433E+06  3.443157658093105E+04  3.780850324581153E-07  8.899467454097236E+02  1.297254217509361E-01
  3.246877353149504E+00  2.946716965401024E+19  7.260126643732337E+03  1.022392285431794E+06  3.427622579007695E+04  3.808566357925664E-07  8.883993520554334E+02  1.381144435939300E-01
  3.256283338771687E+00  2.947717650667729E+19  7.221544497273613E+03  1.015276488912393E+06  3.410565138812529E+04  3.839128813700985E-07  8.866375039025412E+02  1.467610331563993E-01
  3.265689324393871E+00  2.948682935764331E+19  7.179681699031980E+03  1.007946217973988E+06  3.391904705392437E+04  3.872755107000495E-07  8.846429814968028E+02  1.556641662693093E-01
  3.275095310016054E+00  2.949598027366039E+19  7.134406007962947E+03  1.000391807023876E+06  3.371561064831160E+04  3.909678900146561E-07  8.823966822807813E+02  1.648227408275174E-01
  3.284501295638237E+00  2.950446453368882E+19  7.085589915054488E+03  9.926033980519830E+05  3.349454832984197E+04  3.950151944314436E-07  8.798786281402856E+02  1.742355606868719E-01
  3.293907281260421E+00  2.951209973754179E+19  7.033111365976816E+03  9.845709346079364E+05  3.325507864889762E+04  3.994446236389512E-07  8.770679776395157E+02  1.839013363172336E-01
  3.303313266882605E+00  2.951868492833477E+19  6.976854442025618E+03  9.762841496641334E+05  3.299643671724967E+04  4.042856514266517E-07  8.739430443004189E+02  1.938186935753482E-01
  3.312719252504788E+00  2.952399970817710E+19  6.916710200320398E+03  9.677325693108178E+05  3.271787939504051E+04  4.095702959227678E-07  8.704813332774563E+02  2.039861546959366E-01
  3.322125238126972E+00  2.952780339267450E+19  6.852577447239744E+03  9.589055081633710E+05  3.241869049089332E+04  4.153334338250366E-07  8.666595862299429E+02  2.144021344481446E-01
  3.331531223749154E+00  2.952983419362256E+19  6.784363539945283E+03  9.497920677486039E+05  3.209818642027324E+04  4.216131561556435E-07  8.624538407361869E+02  2.250649325438932E-01
  3.340937209371340E+00  2.952980844067995E+19  6.711985201258112E+03  9.403811370838836E+05  3.175572226994397E+04  4.284511729954228E-07  8.578395051102345E+02  2.359727248847945E-01
  3.350343194993523E+00  2.952741985091819E+19  6.635369343971393E+03  9.306613959891709E+05  3.139069826065751E+04  4.358932748915630E-07  8.527914500255001E+02  2.471235539332151E-01
  3.359749180615707E+00  2.952233885539827E+19  6.554453901235314E+03  9.206213218343018E+05  3.100256659766244E+04  4.439898599260123E-07  8.472841183657019E+02  2.585153182981201E-01
  3.369155166237889E+00  2.951421199217065E+19  6.469188658307817E+03  9.102492003801476E+05  3.059083868628983E+04  4.527965371732169E-07  8.412916545921802E+02  2.701457617470309E-01
  3.378561151860073E+00  2.950266133561780E+19  6.379535810344303E+03  8.995331145899605E+05  3.015509136332127E+04  4.623748486526824E-07  8.347880348853942E+02  2.820124972450352E-01
  3.387967137482257E+00  2.948728360575395E+19  6.285468560432952E+03  8.884607441811302E+05  2.969496380497696E+04  4.727933222860661E-07  8.277470672355620E+02  2.941132789494857E-01
  3.397373123104440E+00  2.946765018777338E+19  6.186975622606889E+03  8.770197579794221E+05  2.921018352141580E+04  4.841280146046519E-07  8.201428473164178E+02  3.064454973784670E-01
  3.406779108726624E+00  2.944330690355262E+19  6.084061260737255E+03  8.651977750484936E+05  2.870057113882862E+04  4.964636479263167E-07  8.119499301439748E+02  3.190062762784770E-01
