# R                      ne                     Te                     pres                   zj                     Psi_N                  
# time step #000000
  3.793469913002709E+00  5.574681995501734E+18  1.507267618577798E+02  2.692469783694806E+02  1.818216586547431E+05  9.521105966536852E-01
  3.803477406493077E+00  4.441273080798216E+18  1.040093919460282E+02  1.480200019563858E+02  1.583715740588069E+05  9.667154642144428E-01
  3.813484899983444E+00  2.963407129988409E+18  5.952546832321978E+01  5.652421154681448E+01  8.241922243433641E+04  9.812779832476568E-01
  3.823492393473812E+00  1.639387641099229E+18  2.960156845205986E+01  1.555022761597326E+01  2.205127863605367E+04  9.957913132818268E-01
  3.833499886964181E+00  8.313427071098854E+17  1.620797825822079E+01  4.317668621778990E+00  4.829638317742802E+03  1.010249904342028E+00
  3.843507380454549E+00  4.551461023872138E+17  1.209223025331895E+01  1.763589915926349E+00  1.160471114113824E+03  1.024652797596433E+00
  3.853514873944917E+00  3.026418663714321E+17  1.130727889295153E+01  1.096547581536642E+00  3.431929006132406E+02  1.039000907609808E+00
 
 
# R                      ne                     Te                     pres                   zj                     Psi_N                  
# time step #000100
  1.862023670886897E+00  3.002161886283231E+17  1.133442823283313E+01  1.090370504056642E+00  4.363556039134685E+01  1.039419257999527E+00
  1.872031164385476E+00  3.865092885024769E+17  1.188527495238522E+01  1.472005860397613E+00  2.916543465560412E+02  1.029581630900559E+00
  1.882038657884054E+00  5.517214166014382E+17  1.336402741562906E+01  2.362640102498030E+00  7.163699072839137E+02  1.019657365092842E+00
  1.892046151382633E+00  8.561796492465224E+17  1.710595874134742E+01  4.693023097372235E+00  1.724486304137531E+03  1.009645126074167E+00
  1.902053644881212E+00  1.378628337246491E+18  2.537234258303274E+01  1.120851657622413E+01  4.835372565375904E+03  9.995435764662327E-01
  1.912061138379789E+00  2.174794553648135E+18  4.108490116984116E+01  2.863128592375730E+01  1.492345796899580E+04  9.893516867151954E-01
