# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #001000
  2.439854028030566E+00  2.898791452560944E+19  2.064418944156359E+03  9.967506313623975E+05  9.588270290141216E+03  4.838626226433608E-07  4.721805504154299E+02  3.590553432471569E-01
  2.449298230559094E+00  2.902709473168688E+19  2.105100657510025E+03  1.010136161914292E+06  9.790402957382328E+03  4.698386405516849E-07  4.778315003573143E+02  3.467367288487910E-01
  2.458742433087622E+00  2.906668255238445E+19  2.144453031451730E+03  1.024454429664881E+06  9.986988613327456E+03  4.569116729942463E-07  4.833413213241654E+02  3.345642122008118E-01
  2.468186635616151E+00  2.910567520682909E+19  2.182520636982285E+03  1.039042413399327E+06  1.017787118704787E+04  4.449652175406940E-07  4.886846959751857E+02  3.225460873418128E-01
  2.477630838144679E+00  2.914325664256895E+19  2.219331875366061E+03  1.050821008387386E+06  1.036286208838574E+04  4.339032291486117E-07  4.938392797515272E+02  3.106872843833823E-01
  2.487075040673207E+00  2.917892025633389E+19  2.254946615005076E+03  1.063983278930652E+06  1.054201379115151E+04  4.236335157256072E-07  4.987952404867151E+02  2.989894380896744E-01
  2.496519243201736E+00  2.921239274329658E+19  2.289498095871904E+03  1.076577857256952E+06  1.071579835477574E+04  4.140559506764819E-07  5.035575600838885E+02  2.874626132888809E-01
  2.505963445730264E+00  2.924330801537643E+19  2.323309824544921E+03  1.087885657521905E+06  1.088554379801728E+04  4.050331645557069E-07  5.081472920423512E+02  2.761054815101737E-01
  2.515407648258791E+00  2.927154873898041E+19  2.356829476134142E+03  1.098783770130819E+06  1.105325504205127E+04  3.964129667663260E-07  5.126061359762182E+02  2.649288337518366E-01
  2.524851850787319E+00  2.929696148858474E+19  2.390483462661276E+03  1.108315758986055E+06  1.122082664638245E+04  3.880653916719691E-07  5.169713877144425E+02  2.539314930148138E-01
  2.534296053315848E+00  2.931951640096506E+19  2.424320750743861E+03  1.111640381779854E+06  1.138842787625999E+04  3.799633852466516E-07  5.212449316391408E+02  2.431216440053622E-01
  2.543740255844376E+00  2.933965162852504E+19  2.457554321645523E+03  1.122004415016292E+06  1.155248143688952E+04  3.722704538441070E-07  5.253597452867850E+02  2.324991403875038E-01
  2.553184458372904E+00  2.935700418734925E+19  2.488637692453070E+03  1.127469814278219E+06  1.170551262821619E+04  3.652967070131342E-07  5.291446530916523E+02  2.220687594857875E-01
  2.562628660901433E+00  2.937277034029777E+19  2.515585937921226E+03  1.136371015380291E+06  1.183858853062124E+04  3.594147281470518E-07  5.324419255437153E+02  2.118344821888516E-01
  2.572072863429960E+00  2.938721882244990E+19  2.536578831974147E+03  1.137350922703360E+06  1.194319971006730E+04  3.549355818856889E-07  5.350810874864592E+02  2.017976463784843E-01
  2.581517065958487E+00  2.939945025906219E+19  2.550779696721153E+03  1.135911804354870E+06  1.201500347865045E+04  3.519591443406405E-07  5.369502451233252E+02  1.919631912797252E-01
  2.590961268487017E+00  2.940956719153148E+19  2.558705715711140E+03  1.180462590230865E+06  1.205645049832213E+04  3.503217740344664E-07  5.381094788777355E+02  1.823295536555971E-01
  2.600405471015545E+00  2.941522721956729E+19  2.562541683448625E+03  1.224848894397382E+06  1.207683816116905E+04  3.495417023749670E-07  5.386957756007030E+02  1.729150833987707E-01
  2.609849673544073E+00  2.941464382585622E+19  2.564960252470363E+03  1.232089006921363E+06  1.208798946648999E+04  3.490595754956841E-07  5.389130258728430E+02  1.637304379211455E-01
  2.619293876072601E+00  2.941094953793656E+19  2.567783492772392E+03  1.227508823190948E+06  1.209976272047700E+04  3.485023036994299E-07  5.390576172410294E+02  1.547844888447724E-01
  2.628738078601129E+00  2.940634102299386E+19  2.571772867203420E+03  1.224477542557341E+06  1.211664742986561E+04  3.477182265234916E-07  5.392852606447610E+02  1.460739605672466E-01
  2.638182281129657E+00  2.940094442566777E+19  2.576920156423933E+03  1.222118387542840E+06  1.213865153377961E+04  3.467122306341178E-07  5.395989668833824E+02  1.376030813294868E-01
