# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000010
  2.855390464334471E+00  2.929969554589238E+19  2.521127255032539E+03  1.216972368239661E+06  1.183499966793618E+04  3.581820257489919E-07  5.341053066662372E+02  1.076970286611767E-02
  2.864834593111636E+00  2.929709978908100E+19  2.521294875845329E+03  1.214502460865041E+06  1.183473796367912E+04  3.581463073380050E-07  5.344644110816621E+02  8.463280098409444E-03
  2.874278721888800E+00  2.929485067468767E+19  2.521388148863058E+03  1.211855893922744E+06  1.183426720231242E+04  3.581264343101563E-07  5.348773152143287E+02  6.432841161365307E-03
  2.883722850665965E+00  2.929293569685082E+19  2.521430784666005E+03  1.209032689876457E+06  1.183369370728226E+04  3.581173508106435E-07  5.353528452983510E+02  4.679708052552639E-03
  2.893166979443129E+00  2.929134145099344E+19  2.521437564889470E+03  1.206023693041803E+06  1.183308148697907E+04  3.581159063286940E-07  5.358979996009552E+02  3.203188805160365E-03
  2.902611108220293E+00  2.929006135252483E+19  2.521422255020448E+03  1.202878342280364E+06  1.183249250838971E+04  3.581191680092390E-07  5.365046775696076E+02  2.004809435421335E-03
  2.912055236997457E+00  2.928908793480515E+19  2.521398706735937E+03  1.199582834638548E+06  1.183198876727443E+04  3.581241849340067E-07  5.371826544081193E+02  1.085872206496589E-03
  2.921499365774622E+00  2.928841435693803E+19  2.521376057930890E+03  1.195975197067577E+06  1.183161038028179E+04  3.581290103366095E-07  5.379402305669895E+02  4.458724645995698E-04
  2.930943494551786E+00  2.928804601950572E+19  2.521356974826866E+03  1.192275902298528E+06  1.183137203664884E+04  3.581330761389680E-07  5.386166887106288E+02  8.576726906046115E-05
  2.940387623328951E+00  2.928797427510441E+19  2.521348644895643E+03  1.188573432976315E+06  1.183130396656601E+04  3.581348509191215E-07  5.393796375346431E+02  6.468329171319304E-06
  2.949831752106116E+00  2.928816617925564E+19  2.521364699193295E+03  1.184537262221537E+06  1.183145682353645E+04  3.581314303939121E-07  5.410488334830184E+02  2.078852081265733E-04
  2.959275880883280E+00  2.928867084042052E+19  2.521385652889361E+03  1.180565886471147E+06  1.183175901658775E+04  3.581269660858370E-07  5.425710222509438E+02  6.909704859542614E-04
