# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  2.541428431485635E+00  2.953000279458105E+19  6.770250481064008E+03  1.186064259836582E+06  3.203159758812523E+04  4.229321659544202E-07  8.615661592970550E+02  2.272228434297267E-01
  2.550834417107818E+00  2.952850263145766E+19  6.835517726200460E+03  1.193267194749534E+06  3.233874886103361E+04  4.168892541415891E-07  8.656211204969397E+02  2.171066544516632E-01
  2.560240402730002E+00  2.952535274391605E+19  6.897252802468744E+03  1.199930799382285E+06  3.262733591463027E+04  4.113046364163423E-07  8.693357703918989E+02  2.071897983555046E-01
  2.569646388352184E+00  2.952077049990505E+19  6.955507041392540E+03  1.206068419512100E+06  3.289780016129400E+04  4.061482905574855E-07  8.727283062080310E+02  1.974755328358525E-01
  2.579052373974367E+00  2.951495898801402E+19  7.010340426883839E+03  1.211693779454118E+06  3.315062091750650E+04  4.013924130797474E-07  8.758166759635935E+02  1.879669970845146E-01
  2.588458359596550E+00  2.950810721393975E+19  7.061821088414279E+03  1.216820934089989E+06  3.338631128183876E+04  3.970111973596825E-07  8.786185104483288E+02  1.786672137753071E-01
  2.597864345218734E+00  2.950039035077929E+19  7.110024777293318E+03  1.221464222933184E+06  3.360541413918733E+04  3.929806352183363E-07  8.811510644674470E+02  1.695790909348247E-01
  2.607270330840916E+00  2.949197003867587E+19  7.155034328253989E+03  1.225638226102842E+06  3.380849830216583E+04  3.892783393984433E-07  8.834311668213804E+02  1.607054236743532E-01
  2.616676316463099E+00  2.948299472968331E+19  7.196939108905433E+03  1.229357722119452E+06  3.399615479977429E+04  3.858833846793643E-07  8.854751784943371E+02  1.520488957649146E-01
  2.626082302085283E+00  2.947360007351298E+19  7.235834458540541E+03  1.232637647308786E+06  3.416899331560901E+04  3.827761657495768E-07  8.872989584170533E+02  1.436120810692489E-01
  2.635488287707465E+00  2.946390934033793E+19  7.271821118340536E+03  1.235493056670202E+06  3.432763877879996E+04  3.799382701555689E-07  8.889178362150749E+02  1.353974448529698E-01
  2.644894273329648E+00  2.945403387701332E+19  7.305004655254999E+03  1.237939086092162E+06  3.447272811022237E+04  3.773523648422196E-07  8.903465913689895E+02  1.274073450173161E-01
  2.654300258951831E+00  2.944407359299479E+19  7.335494880576984E+03  1.239990915640924E+06  3.460490711881671E+04  3.750020950826126E-07  8.915994381288474E+02  1.196440333666453E-01
  2.663706244574015E+00  2.943411747273984E+19  7.363405265295823E+03  1.241663733756284E+06  3.472482754706558E+04  3.728719946668044E-07  8.926900156253237E+02  1.121096570714541E-01
  2.673112230196199E+00  2.942424418542622E+19  7.388852165337545E+03  1.242972660983735E+06  3.483314346035168E+04  3.709474205873638E-07  8.936313757005885E+02  1.048063175491913E-01
  2.682518215818381E+00  2.941452259500199E+19  7.411954385199499E+03  1.243932739249883E+06  3.493050923203377E+04  3.692144712367584E-07  8.944359881216458E+02  9.773605118668183E-02
  2.691924201440565E+00  2.940501218800917E+19  7.432832922431837E+03  1.244558970165598E+06  3.501757838615689E+04  3.676599006649429E-07  8.951157539063736E+02  9.090073120718034E-02
  2.701330187062747E+00  2.939576373512647E+19  7.451610148553415E+03  1.244866234105859E+06  3.509500015564036E+04  3.662710836116062E-07  8.956820007201623E+02  8.430213068069743E-02
  2.710736172684931E+00  2.938681987998423E+19  7.468409237055208E+03  1.244869258053585E+06  3.516341720714508E+04  3.650359693903958E-07  8.961454904787865E+02  7.794192455054082E-02
  2.720142158307113E+00  2.937821573588686E+19  7.483353602568372E+03  1.244582583887374E+06  3.522346350431722E+04  3.639430423170627E-07  8.965164293351968E+02  7.182169268162776E-02
  2.729548143929298E+00  2.936997957250005E+19  7.496566218059241E+03  1.244020498495225E+06  3.527576177163722E+04  3.629812979818794E-07  8.968044767644597E+02  6.594298979987351E-02
  2.738954129551479E+00  2.936213348465406E+19  7.508168970253097E+03  1.243196954195395E+06  3.532092117557522E+04  3.621402231693027E-07  8.970187565187850E+02  6.030745316636844E-02
  2.748360115173663E+00  2.935469345872034E+19  7.518282939167384E+03  1.242125763214582E+06  3.535953867528893E+04  3.614097153705484E-07  8.971678862650965E+02  5.491643090028839E-02
  2.757766100795846E+00  2.934767026128203E+19  7.527027387205395E+03  1.240820449154395E+06  3.539219532626033E+04  3.607801021913522E-07  8.972599802872046E+02  4.977116594748359E-02
  2.767172086418029E+00  2.934107006653496E+19  7.534519229711279E+03  1.239294200734326E+06  3.541945457076570E+04  3.602421310989179E-07  8.973026650687939E+02  4.487283570703333E-02
  2.776578072040211E+00  2.933489531389198E+19  7.540872253707954E+03  1.237559712631346E+06  3.544185964839216E+04  3.597869825307624E-07  8.973030937381152E+02  4.022282932695170E-02
  2.785984057662396E+00  2.932914454814461E+19  7.546197375621779E+03  1.235629410427127E+06  3.545993468029240E+04  3.594062136328460E-07  8.972679597309268E+02  3.582228382817426E-02
  2.795390043284580E+00  2.932381314709592E+19  7.550602016933286E+03  1.233515383890270E+06  3.547418268815489E+04  3.590917702491026E-07  8.972035116200816E+02  3.167213855272352E-02
